yearID,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA
2016,Atlanta Hawks,23.5,33.0,49.0,29,53,-4.18,0.2,-3.98,104.3,108.7,-4.4,94.2,0.276,0.18899999999999997,0.537,0.499,14.2,24.9,0.207,0.51,14.2,73.1,0.221
2016,Golden State Warriors,26.0,23.0,59.0,24,58,-6.66,0.34,-6.32,102.2,109.0,-6.8,98.5,0.271,0.302,0.526,0.48700000000000004,15.2,25.4,0.204,0.523,13.5,77.1,0.237
2016,Chicago Bulls,26.9,21.0,61.0,22,60,-7.35,0.24,-7.12,103.2,110.9,-7.7,95.2,0.24600000000000002,0.218,0.527,0.49200000000000005,13.6,24.1,0.18600000000000003,0.534,13.1,75.7,0.17600000000000002
2016,Los Angeles Clippers,26.5,17.0,65.0,17,65,-9.56,0.64,-8.92,101.6,111.6,-10.0,95.6,0.292,0.29,0.509,0.46,12.5,23.1,0.228,0.523,11.6,74.7,0.20199999999999999
2016,San Antonio Spurs,23.3,10.0,72.0,16,66,-10.23,0.31,-9.92,98.8,109.2,-10.4,97.9,0.26899999999999996,0.327,0.519,0.48700000000000004,14.8,20.6,0.18600000000000003,0.51,13.5,74.0,0.24
2017,Los Angeles Lakers,28.2,67.0,15.0,67,15,11.63,-0.28,11.35,115.6,104.0,11.6,99.8,0.259,0.359,0.597,0.563,13.2,22.8,0.204,0.486,13.5,74.9,0.198
2017,Portland Trail Blazers,29.6,61.0,21.0,60,22,7.2,-0.06,7.13,111.1,103.5,7.6,94.2,0.263,0.281,0.564,0.524,12.6,24.0,0.21,0.49200000000000005,13.5,77.6,0.192
2017,San Antonio Spurs,27.4,55.0,27.0,55,27,5.77,0.08,5.84,114.7,109.0,5.7,100.0,0.304,0.462,0.583,0.545,13.3,24.6,0.233,0.519,13.2,75.8,0.19399999999999998
2017,Phoenix Suns,30.0,51.0,31.0,52,30,4.29,0.13,4.42,112.7,108.2,4.5,96.1,0.312,0.32899999999999996,0.574,0.537,12.0,21.5,0.233,0.506,12.1,76.9,0.21100000000000002
2017,Utah Jazz,26.8,51.0,31.0,52,30,3.94,0.06,4.0,109.6,105.3,4.3,91.6,0.28800000000000003,0.327,0.563,0.526,13.2,23.2,0.215,0.493,11.8,78.9,0.195
2017,Indiana Pacers,26.1,51.0,31.0,52,30,4.21,-0.56,3.65,112.3,107.8,4.5,94.7,0.293,0.289,0.561,0.517,11.8,25.0,0.233,0.507,13.5,76.3,0.223
2017,Sacramento Kings,29.2,51.0,31.0,49,33,3.18,-0.31,2.87,113.6,110.3,3.3,96.2,0.275,0.39899999999999997,0.58,0.547,12.6,21.9,0.20600000000000002,0.516,11.4,75.8,0.174
2017,Miami Heat,25.9,53.0,29.0,48,34,2.63,-0.39,2.25,111.2,108.4,2.8,96.8,0.273,0.39299999999999996,0.5670000000000001,0.525,12.2,21.2,0.22,0.503,12.6,75.3,0.223
2017,Minnesota Timberwolves,26.0,49.0,33.0,46,36,1.8,-0.45,1.36,111.2,109.3,1.9,97.4,0.254,0.284,0.564,0.528,12.8,24.1,0.19899999999999998,0.524,13.8,75.5,0.213
2017,Charlotte Hornets,24.7,47.0,35.0,43,39,0.76,0.39,1.14,108.3,107.5,0.8,97.8,0.295,0.295,0.54,0.5,13.2,27.9,0.22,0.511,12.5,79.0,0.218
2017,New York Knicks,29.5,43.0,39.0,42,40,0.49,0.47,0.96,107.7,107.1,0.6,92.3,0.28,0.316,0.535,0.491,12.1,24.8,0.21899999999999997,0.506,13.6,77.5,0.256
2017,Seattle SuperSonics,26.5,41.0,41.0,44,38,1.06,-0.29,0.77,107.8,106.7,1.1,95.2,0.251,0.314,0.541,0.512,12.4,24.2,0.177,0.496,12.6,76.4,0.22
2017,Detroit Pistons,25.2,40.0,42.0,42,40,0.51,0.19,0.7,113.2,112.7,0.5,98.3,0.276,0.32899999999999996,0.568,0.53,13.2,27.3,0.214,0.532,10.9,78.7,0.19399999999999998
2017,Philadelphia 76ers,26.9,41.0,41.0,42,40,0.43,-0.39,0.03,107.4,107.0,0.4,95.3,0.259,0.256,0.53,0.48700000000000004,12.3,27.0,0.20600000000000002,0.507,12.4,76.8,0.16899999999999998
2017,Orlando Magic,26.5,36.0,46.0,42,40,0.2,-0.26,-0.07,108.8,108.6,0.2,95.7,0.27899999999999997,0.335,0.547,0.501,10.7,19.9,0.22699999999999998,0.523,12.1,79.6,0.16399999999999998
2017,Milwaukee Bucks,24.8,41.0,41.0,40,42,-0.52,0.3,-0.23,110.3,110.8,-0.5,96.7,0.275,0.322,0.5589999999999999,0.52,12.5,23.0,0.214,0.508,11.6,76.8,0.24100000000000002
2017,Dallas Mavericks,25.6,42.0,40.0,40,42,-0.18,-0.26,-0.45,109.1,109.3,-0.2,94.5,0.27399999999999997,0.29,0.565,0.527,13.2,21.5,0.21,0.518,13.6,75.4,0.215
2017,Toronto Raptors,27.0,42.0,40.0,40,42,-0.22,-0.42,-0.64,108.6,108.8,-0.2,95.9,0.261,0.272,0.5579999999999999,0.516,12.8,21.2,0.212,0.512,13.6,75.5,0.225
2017,Houston Rockets,24.0,31.0,51.0,38,44,-1.11,0.47,-0.64,110.8,112.0,-1.2,94.6,0.287,0.249,0.555,0.511,12.9,27.2,0.22899999999999998,0.535,13.2,75.9,0.212
2017,Boston Celtics,27.9,43.0,39.0,39,43,-0.85,-0.38,-1.23,104.9,105.7,-0.8,97.4,0.295,0.309,0.541,0.504,14.2,23.6,0.215,0.507,13.8,76.1,0.179
2017,New Jersey Nets,25.4,37.0,45.0,38,44,-1.12,-0.17,-1.29,106.0,107.1,-1.1,95.0,0.218,0.263,0.521,0.49200000000000005,10.9,24.1,0.157,0.516,12.1,81.2,0.19699999999999998
2017,Denver Nuggets,25.7,34.0,48.0,35,47,-2.1,0.41,-1.69,105.2,107.4,-2.2,98.0,0.256,0.308,0.539,0.504,11.7,18.5,0.192,0.509,12.4,76.8,0.177
2017,Washington Wizards,27.6,33.0,49.0,33,49,-2.93,0.4,-2.53,105.6,108.8,-3.2,92.2,0.225,0.366,0.541,0.505,11.6,18.1,0.18,0.529,14.4,77.6,0.218
2017,Cleveland Cavaliers,27.9,32.0,50.0,31,51,-3.88,0.58,-3.29,107.3,111.3,-4.0,94.9,0.284,0.29100000000000004,0.556,0.516,13.7,21.0,0.22,0.528,12.9,76.3,0.22699999999999998
2017,Vancouver Grizzlies,27.3,31.0,51.0,31,51,-3.67,-0.2,-3.87,107.7,111.5,-3.8,96.0,0.239,0.27899999999999997,0.534,0.496,12.4,26.6,0.188,0.511,11.7,74.1,0.214
2017,Atlanta Hawks,25.0,24.0,58.0,27,55,-5.63,0.49,-5.14,106.6,112.2,-5.6,100.3,0.297,0.255,0.5379999999999999,0.493,13.4,26.0,0.231,0.525,13.1,76.4,0.264
2017,Golden State Warriors,24.6,28.0,54.0,26,56,-5.7,-0.14,-5.83,103.2,108.9,-5.7,98.5,0.258,0.349,0.539,0.501,14.9,22.4,0.19899999999999998,0.512,13.5,75.3,0.23399999999999999
2017,Chicago Bulls,25.1,26.0,56.0,24,58,-6.88,0.58,-6.29,106.0,113.0,-7.0,98.5,0.259,0.295,0.537,0.501,13.5,25.0,0.195,0.542,13.0,75.8,0.213
2017,Los Angeles Clippers,25.3,29.0,53.0,24,58,-6.57,-0.04,-6.61,103.7,110.5,-6.8,96.8,0.24600000000000002,0.3,0.524,0.489,12.1,21.6,0.184,0.523,11.9,77.4,0.201
2017,San Antonio Spurs,26.0,20.0,62.0,24,58,-6.73,-0.01,-6.74,104.1,110.7,-6.6,101.3,0.289,0.371,0.551,0.507,14.7,19.6,0.228,0.513,11.6,76.1,0.212
2018,Los Angeles Lakers,29.8,65.0,17.0,61,21,8.48,-0.27,8.21,114.7,106.1,8.6,97.6,0.298,0.502,0.59,0.551,12.7,21.3,0.233,0.521,13.4,79.9,0.171
2018,Portland Trail Blazers,25.8,59.0,23.0,60,22,7.78,-0.49,7.29,113.8,105.9,7.9,97.4,0.25,0.377,0.575,0.539,12.1,23.0,0.198,0.501,13.0,77.7,0.212
2018,San Antonio Spurs,28.8,58.0,24.0,56,26,5.98,-0.19,5.79,113.6,107.6,6.0,99.6,0.239,0.33899999999999997,0.603,0.569,14.1,21.0,0.195,0.504,12.6,76.3,0.18600000000000003
2018,Phoenix Suns,26.7,48.0,34.0,53,29,4.3,0.17,4.47,108.4,103.9,4.5,95.7,0.26,0.35700000000000004,0.564,0.527,13.7,21.5,0.20199999999999999,0.506,14.0,79.8,0.19
2018,Utah Jazz,25.8,52.0,30.0,53,29,4.5,-0.2,4.3,109.5,105.0,4.5,99.8,0.263,0.344,0.568,0.535,14.6,25.3,0.198,0.49200000000000005,12.6,78.6,0.218
2018,Indiana Pacers,27.3,48.0,34.0,50,32,3.41,0.0,3.42,110.7,107.2,3.5,96.7,0.275,0.345,0.546,0.514,12.4,27.7,0.19699999999999998,0.525,14.7,77.4,0.193
2018,Sacramento Kings,24.7,55.0,27.0,51,31,3.59,-0.35,3.23,107.6,103.9,3.7,96.0,0.243,0.35700000000000004,0.552,0.518,13.0,21.5,0.188,0.495,13.0,78.4,0.191
2018,Miami Heat,29.3,47.0,35.0,49,33,2.89,0.0,2.89,107.9,104.8,3.1,95.0,0.245,0.282,0.5429999999999999,0.507,12.2,23.7,0.18899999999999997,0.507,13.2,78.6,0.17
2018,Minnesota Timberwolves,25.6,49.0,33.0,48,34,2.6,0.0,2.6,109.1,106.4,2.7,96.5,0.24,0.324,0.5489999999999999,0.511,12.3,23.3,0.192,0.503,11.7,79.1,0.193
2018,Charlotte Hornets,27.1,47.0,35.0,47,35,2.23,0.12,2.35,113.4,111.1,2.3,96.0,0.28,0.261,0.5660000000000001,0.523,11.4,24.4,0.225,0.539,13.9,76.4,0.18899999999999997
2018,New York Knicks,25.1,46.0,36.0,45,37,1.48,0.09,1.57,112.5,111.0,1.5,96.8,0.258,0.35700000000000004,0.57,0.536,13.4,25.7,0.198,0.539,12.6,77.5,0.17300000000000001
2018,Seattle SuperSonics,27.6,48.0,34.0,44,38,1.3,0.18,1.48,109.6,108.3,1.3,100.5,0.237,0.319,0.573,0.541,13.3,20.0,0.183,0.513,12.5,76.7,0.175
2018,Detroit Pistons,26.2,48.0,34.0,45,37,1.38,-0.2,1.18,109.5,108.1,1.4,96.0,0.222,0.284,0.557,0.525,12.3,22.7,0.17300000000000001,0.527,14.2,76.2,0.174
2018,Philadelphia 76ers,30.6,50.0,32.0,43,39,0.94,-0.35,0.59,112.9,111.9,1.0,98.0,0.275,0.379,0.584,0.547,12.6,20.1,0.214,0.54,12.2,77.3,0.166
2018,Orlando Magic,26.9,43.0,39.0,43,39,0.59,-0.06,0.53,109.3,108.7,0.6,96.6,0.254,0.31,0.56,0.525,13.3,23.5,0.196,0.522,13.6,77.1,0.212
2018,Milwaukee Bucks,27.0,42.0,40.0,41,41,0.04,0.11,0.15,110.3,110.2,0.1,98.7,0.299,0.314,0.564,0.527,13.2,23.5,0.222,0.52,12.6,76.1,0.203
2018,Dallas Mavericks,26.5,44.0,38.0,42,40,0.48,-0.33,0.15,106.8,106.3,0.5,95.6,0.22899999999999998,0.358,0.551,0.52,13.3,21.5,0.17300000000000001,0.507,13.1,79.0,0.215
2018,Toronto Raptors,26.6,36.0,46.0,42,40,0.26,-0.19,0.07,109.4,109.1,0.3,98.4,0.312,0.314,0.5489999999999999,0.508,11.4,22.2,0.233,0.532,12.4,80.7,0.165
2018,Houston Rockets,25.9,39.0,43.0,41,41,-0.15,-0.11,-0.26,107.2,107.3,-0.1,96.2,0.22699999999999998,0.33299999999999996,0.5429999999999999,0.512,12.3,22.7,0.16899999999999998,0.524,13.7,78.5,0.172
2018,Boston Celtics,25.9,44.0,38.0,40,42,-0.3,-0.15,-0.45,109.8,110.1,-0.3,96.2,0.281,0.297,0.5710000000000001,0.531,12.9,20.4,0.22,0.528,14.2,75.9,0.22
2018,New Jersey Nets,23.7,35.0,47.0,37,45,-1.55,0.11,-1.44,106.5,108.0,-1.5,100.3,0.264,0.32899999999999996,0.5479999999999999,0.517,13.8,23.6,0.188,0.514,12.5,77.7,0.19
2018,Denver Nuggets,27.7,24.0,58.0,33,49,-3.04,0.34,-2.7,106.3,109.5,-3.2,95.6,0.217,0.382,0.544,0.513,11.6,18.0,0.166,0.532,12.9,78.9,0.193
2018,Washington Wizards,26.3,29.0,53.0,32,50,-3.56,0.03,-3.53,107.1,110.7,-3.6,96.8,0.21600000000000003,0.266,0.544,0.51,13.3,24.1,0.17,0.522,12.2,76.7,0.20800000000000002
2018,Cleveland Cavaliers,25.1,28.0,54.0,31,51,-3.74,0.07,-3.67,106.9,110.6,-3.7,98.9,0.26,0.41100000000000003,0.551,0.514,13.6,21.0,0.201,0.517,11.0,77.0,0.201
2018,Vancouver Grizzlies,25.6,25.0,57.0,28,54,-4.82,-0.1,-4.92,105.2,110.1,-4.9,98.1,0.23800000000000002,0.342,0.545,0.512,13.3,20.0,0.18,0.525,12.8,75.6,0.187
2018,Atlanta Hawks,25.4,24.0,58.0,27,55,-5.45,0.15,-5.3,105.0,110.6,-5.6,98.3,0.23600000000000002,0.363,0.547,0.512,14.1,21.1,0.185,0.536,13.6,76.2,0.183
2018,Golden State Warriors,26.0,22.0,60.0,25,57,-6.21,0.39,-5.81,104.5,111.0,-6.5,94.9,0.255,0.317,0.539,0.5,14.0,22.4,0.201,0.529,13.8,76.5,0.256
2018,Chicago Bulls,26.4,27.0,55.0,23,59,-6.99,0.39,-6.6,103.7,111.1,-7.4,94.9,0.19399999999999998,0.278,0.529,0.502,12.8,21.5,0.14300000000000002,0.542,13.5,77.6,0.19899999999999998
2018,Los Angeles Clippers,24.4,27.0,55.0,23,59,-7.04,0.2,-6.84,103.8,110.9,-7.1,98.3,0.21600000000000003,0.35,0.529,0.49700000000000005,12.6,20.6,0.16399999999999998,0.542,12.4,80.6,0.184
2018,San Antonio Spurs,23.7,21.0,61.0,19,63,-9.37,0.57,-8.8,103.5,112.8,-9.3,100.3,0.275,0.32,0.532,0.495,13.9,22.5,0.203,0.5329999999999999,11.9,76.5,0.212
2019,Los Angeles Lakers,26.9,60.0,22.0,61,21,8.87,-0.82,8.04,113.8,105.2,8.6,103.3,0.255,0.419,0.583,0.55,12.0,20.8,0.19699999999999998,0.503,11.5,80.3,0.162
2019,Portland Trail Blazers,28.4,57.0,25.0,56,26,6.46,-0.04,6.42,115.9,109.5,6.4,100.9,0.22699999999999998,0.384,0.596,0.565,12.6,22.5,0.182,0.508,11.7,77.1,0.205
2019,San Antonio Spurs,27.3,58.0,24.0,56,26,6.09,-0.6,5.49,113.1,107.1,6.0,100.2,0.247,0.379,0.579,0.5429999999999999,12.4,21.9,0.198,0.509,13.1,77.1,0.19
2019,Phoenix Suns,27.3,50.0,32.0,54,28,5.26,0.03,5.28,110.9,105.7,5.2,100.3,0.295,0.39399999999999996,0.5720000000000001,0.5379999999999999,13.4,22.9,0.217,0.507,12.4,80.3,0.18899999999999997
2019,Utah Jazz,29.2,53.0,29.0,53,29,4.77,0.19,4.96,115.5,110.7,4.8,97.9,0.27899999999999997,0.519,0.581,0.542,12.0,22.8,0.221,0.525,13.4,74.4,0.21
2019,Indiana Pacers,26.2,53.0,29.0,51,31,4.2,0.24,4.43,114.7,110.5,4.2,99.1,0.258,0.33899999999999997,0.568,0.528,12.1,26.6,0.21,0.516,11.0,77.9,0.195
2019,Sacramento Kings,24.9,54.0,28.0,51,31,3.95,0.24,4.19,113.0,108.9,4.1,97.7,0.23199999999999998,0.348,0.5579999999999999,0.527,11.9,26.6,0.175,0.521,12.3,78.0,0.19399999999999998
2019,Miami Heat,25.7,49.0,33.0,52,30,4.44,-0.54,3.9,112.2,107.8,4.4,99.6,0.215,0.381,0.5670000000000001,0.534,11.5,21.6,0.17300000000000001,0.514,13.4,77.0,0.198
2019,Minnesota Timberwolves,25.7,49.0,33.0,50,32,3.4,0.15,3.56,110.3,107.0,3.3,102.8,0.266,0.34700000000000003,0.545,0.514,11.7,26.0,0.19,0.523,14.4,78.2,0.20600000000000002
2019,Charlotte Hornets,27.0,48.0,34.0,50,32,3.33,-0.57,2.76,109.9,106.5,3.4,98.1,0.242,0.292,0.561,0.53,12.4,21.9,0.182,0.516,14.1,76.2,0.184
2019,New York Knicks,26.4,51.0,31.0,48,34,2.7,-0.44,2.25,112.6,110.0,2.6,101.6,0.312,0.342,0.574,0.532,12.9,24.5,0.24100000000000002,0.512,11.1,78.6,0.20600000000000002
2019,Seattle SuperSonics,28.8,48.0,34.0,45,37,1.68,0.12,1.8,112.9,111.2,1.7,98.3,0.237,0.28600000000000003,0.5720000000000001,0.534,11.0,21.0,0.19399999999999998,0.528,11.0,79.4,0.17
2019,Detroit Pistons,27.2,48.0,34.0,43,39,0.85,0.23,1.09,112.4,111.5,0.9,101.7,0.326,0.295,0.575,0.529,12.7,22.0,0.258,0.514,11.4,76.0,0.22399999999999998
2019,Philadelphia 76ers,25.7,42.0,40.0,43,39,0.71,-0.43,0.28,108.9,108.1,0.8,98.1,0.21600000000000003,0.36,0.55,0.518,11.9,22.0,0.168,0.515,11.8,79.7,0.18600000000000003
2019,Orlando Magic,25.4,42.0,40.0,41,41,-0.07,-0.33,-0.4,109.6,109.7,-0.1,100.8,0.284,0.40299999999999997,0.556,0.52,13.0,23.8,0.21100000000000002,0.512,11.6,76.4,0.19
2019,Milwaukee Bucks,27.0,39.0,43.0,40,42,-0.23,-0.22,-0.45,107.3,107.6,-0.3,98.2,0.247,0.368,0.542,0.515,13.1,24.8,0.172,0.51,12.7,77.6,0.201
2019,Dallas Mavericks,26.9,41.0,41.0,40,42,-0.24,-0.31,-0.56,109.0,109.2,-0.2,97.4,0.262,0.39399999999999996,0.544,0.509,12.3,24.8,0.195,0.526,12.8,78.7,0.21100000000000002
2019,Toronto Raptors,24.8,39.0,43.0,38,44,-1.12,0.31,-0.81,110.4,111.5,-1.1,103.1,0.244,0.321,0.5539999999999999,0.524,11.5,23.1,0.177,0.5329999999999999,13.6,75.5,0.207
2019,Houston Rockets,26.9,33.0,49.0,38,44,-1.28,0.42,-0.87,109.4,110.7,-1.3,99.0,0.29100000000000004,0.42200000000000004,0.555,0.519,12.7,22.7,0.21600000000000003,0.522,11.6,77.5,0.191
2019,Boston Celtics,26.2,36.0,46.0,37,45,-1.5,0.48,-1.02,111.4,112.9,-1.5,100.2,0.267,0.315,0.552,0.511,11.4,24.6,0.21,0.5379999999999999,12.9,74.9,0.19
2019,New Jersey Nets,25.7,33.0,49.0,38,44,-1.33,0.23,-1.1,111.4,112.6,-1.2,103.3,0.254,0.324,0.563,0.529,12.6,24.1,0.193,0.532,11.6,76.8,0.193
2019,Denver Nuggets,26.6,39.0,43.0,38,44,-1.1,-0.22,-1.32,111.4,112.5,-1.1,98.7,0.257,0.37799999999999995,0.5539999999999999,0.514,10.9,21.7,0.205,0.5379999999999999,12.1,77.1,0.179
2019,Washington Wizards,26.2,37.0,45.0,37,45,-1.72,0.39,-1.33,107.8,109.5,-1.7,103.2,0.257,0.342,0.5539999999999999,0.527,13.4,22.2,0.18,0.516,12.2,76.4,0.192
2019,Cleveland Cavaliers,27.7,33.0,49.0,34,48,-2.6,0.51,-2.08,106.1,108.8,-2.7,96.6,0.272,0.342,0.5479999999999999,0.508,12.9,20.0,0.21,0.521,13.9,77.6,0.23199999999999998
2019,Vancouver Grizzlies,26.5,32.0,50.0,34,48,-2.9,-0.4,-3.3,111.1,113.9,-2.8,101.4,0.266,0.37,0.5670000000000001,0.531,12.3,21.3,0.204,0.546,13.5,74.1,0.19899999999999998
2019,Atlanta Hawks,25.1,29.0,53.0,27,55,-6.02,-0.04,-6.06,108.1,113.9,-5.8,103.9,0.255,0.40299999999999997,0.555,0.522,14.3,24.7,0.192,0.541,12.8,76.4,0.237
2019,Golden State Warriors,24.0,22.0,60.0,21,61,-8.41,0.1,-8.32,104.8,113.2,-8.4,99.0,0.235,0.295,0.541,0.505,12.7,19.4,0.184,0.541,11.9,77.3,0.188
2019,Chicago Bulls,24.0,19.0,63.0,19,63,-9.34,0.73,-8.61,105.9,115.1,-9.2,100.5,0.259,0.335,0.552,0.514,13.8,20.5,0.20199999999999999,0.545,13.5,72.5,0.23600000000000002
2019,Los Angeles Clippers,23.4,17.0,65.0,19,63,-9.21,0.28,-8.93,104.5,113.7,-9.2,99.6,0.27,0.33399999999999996,0.529,0.49,12.4,22.1,0.205,0.5329999999999999,11.7,76.1,0.203
2019,San Antonio Spurs,25.2,19.0,63.0,19,63,-9.61,0.22,-9.39,107.7,117.6,-9.9,96.6,0.23600000000000002,0.332,0.54,0.503,12.2,23.7,0.187,0.564,11.5,77.0,0.18100000000000002
